rank,name,aggregateScore,sector,description,Deck Score,spelling_and_grammar,structure,clarity,length,startup Score,team,market,traction,hasEmail,founders,number of founders,timestamp
43,ArcX,70.87,health_and_wellness,ArcX is a wearable technology company that provides an intuitive hands-free music control solution for sports and fitness activities.,78.35,98,83,35,80,69,100,40,65,True,"Paul Blair, Kumar Bala",2,2024-02-27 14:33:30
44,Weno,70.82692307692308,,Weno is an AI-powered travel trip management and social commerce platform.,80.53461538461538,98.92307692307692,78,45,100,68.4,61,100,20,False,Ahmad Shabib,1,2024-02-27 14:33:30
45,Semper Ads,70.56692307692309,other,Semper Ads delivers creative advertising products and services for a 21st century world.,87.2346153846154,97.92307692307692,87,61,100,66.4,61,100,10,True,"Brett Jones, Chuck Reese, Amy Kiechle",3,2024-02-27 14:33:30
46,Autio,70.51500000000001,education_technology,"Autio delivers entertaining audio stories based on your GPS location, acting as your personalized tour guide to places near and far.",80.575,99.625,91,41,60,68,100,30,80,True,"Woody Sears, Sean O'Brien, Bill Werlin, Kevin Costner",4,2024-02-27 14:33:30
47,SAMURAI,70.51000000000002,other,SAMURAI is a B2B SaaS for Real Estate Brokerages and Property Listing Platforms that uses AI to enhance property search and recommendation.,74.95,95,87,63,20,69.4,61,100,25,True,Mohamed Ihab,1,2024-02-27 14:33:30
48,Ticketpass,70.34,other,Ticketpass is an ethical ticketing platform offering solutions for event organizers to manage their events in one ecosystem.,74.1,100,83,64,20,69.4,61,100,25,True,Rodrigo Bautista,1,2024-02-27 14:33:30
49,MAGIC,70.3,health_and_wellness,MAGIC is the world's first AI personal trainer offering a personalized and cost-effective fitness solution.,63.5,95,74,50,0,72,100,40,80,True,"Varun Bhanot, Sunil Jindal",2,2024-02-27 14:33:31
50,Precode,70.14,education_technology,Precode is an AI product management assistant that enhances precision and confidence in software development.,85.1,99,91,52,80,66.4,61,100,10,True,"Victoria Sundberg, Jonathan Ström, Teppo Hudsson",3,2024-02-27 14:33:31
51,Evil Genius Games,70.13142857142857,other,Evil Genius Games is creating the ultimate digital first platform for tabletop RPGs.,90.65714285714286,98.28571428571429,100,50,90,65,100,30,65,True,David Scott,1,2024-02-27 14:33:31
52,CEEK,70.09,education_technology,"CEEK is a VR/AR platform offering immersive, live classes taught by experts in various fields.",84.85,95,87,69,80,66.4,61,100,10,True,Mary Spio,1,2024-02-27 14:33:31
53,Validient Ltd,69.92,financial_inclusion,"Validient is a digital client onboarding and compliance management system that verifies the authenticity of clients to prevent money laundering, sanctioned companies, and fraud.",84,95,91,50,80,66.4,61,100,10,True,"Ieuan Leigh, Katie Turnbull, Thomas Elliott, Gareth Williams",4,2024-02-27 14:33:31
54,BEEN London,69.82000000000001,planet_positive,"BEEN London is a business making premium accessories entirely from waste, reducing carbon footprint and diverting waste from landfills.",83.5,95,87,60,80,66.4,61,100,10,True,Genia Mineeva,1,2024-02-27 14:33:31
55,Hireable,69.7,education_technology,Hireable is an AI-powered career transition support platform reducing the cost of career transition by 99%.,84.5,100,96,70,40,66,60,100,10,True,"Joe Brown, Jamie Dodge, Tom Brown",3,2024-02-27 14:33:31
56,Casa,69.69,planet_positive,"Casa is a sales and customer support engine designed to supercharge the green workforce, starting with heat pump installers.",84.45,95,91,53,80,66,60,100,10,True,"Eddie Gillow, Gonzalo Ortega, Thom Huynh",3,2024-02-27 14:33:31
57,Kandel,69.56,other,"Kandel is an AI co-pilot for hiring managers and recruiters, aiming to optimize the recruitment process.",79.8,95,100,52,20,67,100,40,55,True,"Eniola Ajuwon, Shorya Singh, Vatsal Shah",3,2024-02-27 14:33:31
58,ProprHome,69.53500000000001,other,ProprHome is a platform enabling trusted real estate experiences through gamification and digital solutions.,82.075,98.125,91,53,60,66.4,61,100,10,True,John McCoy,1,2024-02-27 14:33:31
59,LocalArena Tix,69.53384615384616,other,LocalArena Tix is a peer-to-peer season ticket sharing platform.,82.06923076923076,98.84615384615384,91,12,100,66.4,61,100,10,True,Parth Dholakia,1,2024-02-27 14:33:31
60,Pickem,69.45692307692309,other,"Pickem is a social gaming platform where sports predictions are reimagined for the new generation, making them free to play, social, fast-paced, and fun.",75.28461538461538,97.92307692307692,70,38,100,68,100,65,10,False,"Joan Roure, Ben Groves, Ramon Sanchez, Sergio Escalante, David Garcia, Octavi Prats",6,2024-02-27 14:33:31
61,Validient,69.44,financial_inclusion,"Validient is a digital client onboarding and compliance management system that verifies the authenticity of clients to prevent money laundering, sanctioned companies, and fraud.",81.6,95,91,54,60,66.4,61,100,10,True,"Ieuan Leigh, Katie Turnbull, Thomas Elliott, Gareth Williams",4,2024-02-27 14:33:31
62,Intropia,69.43666666666667,education_technology,Intropia is the first professional network powered by on-chain reputation and introductions.,81.58333333333334,99.66666666666667,87,41,80,66.4,61,100,10,True,"Max Uperiaka, Oleg Gorlachov, Oleksii Sysoiev",3,2024-02-27 14:33:31
63,OutPaged,68.88307692307694,education_technology,OutPaged is transforming books into immersive AR/XR experiences using AI.,86.81538461538462,98.07692307692308,87,58,100,64.4,61,100,0,True,"Kevin Nesgoda, Tanguy Bodivit, Peter Day, Carlos Mora, Joanna Nesgoda, Michelle Wyman, Priya Venkateshan",7,2024-02-27 14:33:31
64,Anywyse,68.81,education_technology,Anywyse is building the future of audio-learning using AI.,72.05,95,83,57,20,68,100,65,10,True,"Julien Jukema, Lisa Jukema, Teddy Funger",3,2024-02-27 14:33:31
65,CYBERFIN,68.71000000000001,financial_inclusion,CYBERFIN is a platform for on-chain perpetuals powered by the BLAST L2 blockchain.,77.95,95,78,53,80,66.4,61,100,10,False,"VLAD, BUNNY, ELLI",3,2024-02-27 14:33:31
66,VOXANN,68.56000000000002,other,VOXANN is a localisation platform making content more accessible to a global audience.,85.2,95,91,78,60,64.4,61,100,0,True,"Dave Bilsborough, Tom Crompton, Dan Bottomley, Rob Tong",4,2024-02-27 14:33:31
67,Discovered,68.28,underrepresented_founders,"Discovered is a global marketplace for authentic artisan products, focusing on fair pricing and positive impact.",75.8,95,74,52,80,66.4,61,65,80,True,Andrew Cameron,1,2024-02-27 14:33:31
68,If Team,68.27000000000001,other,If Team is a task-driven cost controller for project-focused companies.,77.35,95,87,59,40,66,60,100,10,True,"Oleh Frolov, Anton Makohonov",2,2024-02-27 14:33:31
69,Raters,67.76,other,Raters is an AI-driven film recommendations platform with a global community of 650K monthly active users.,78.8,95,83,22,100,65,100,30,65,True,"Rasim Aliyev, Jamil Abdullayev, Oleg Mishchenko, Yurii Bulakh, Tural Gurbanov",5,2024-02-27 14:33:31
70,Sequel,67.58000000000001,financial_inclusion,Sequel is a platform connecting the world's best athletes with the world's best startups that are changing the world for the better.,73.9,99,74,34,80,66,100,65,0,False,"Nick Telson, Alex Macdonald, Andrew Webster",3,2024-02-27 14:33:31
71,LearnDay,67.5,education_technology,LearnDay is an online education and certification platform for regulated and emerging industries.,65.5,95,78,30,20,68,100,65,10,True,"Jacques Wong, Chris Greyling, Wayne van Damme",3,2024-02-27 14:33:31
72,The Retreater,67.41842105263159,health_and_wellness,The Retreater is a platform to book and build retreats that reconnect communities and teams.,71.4921052631579,99.21052631578948,91,21,20,66.4,61,100,10,False,Natalie Sullivan,1,2024-02-27 14:33:31
73,V-ART,67.31,education_technology,V-ART is a platform for monetizing IP for brands and AI.,82.95,95,91,43,80,63.400000000000006,61,65,65,True,"Anastasiia Gliebova, Olga Simson, Oleksandr Velychko",3,2024-02-27 14:33:32
74,SnoozUp,67.26285714285716,health_and_wellness,SnoozUp is an app that incentivizes healthy lifestyle habits by financially motivating users.,78.71428571428572,98.57142857142857,70,70,90,64.4,61,100,0,True,"Erfan Shekarchi, Artemis Nayeb, Maryam Askari, Joseph Iuso, Saman Rajabi, Niloufar Akbari, Ali Shekarchi",7,2024-02-27 14:33:32
75,Dispatchly,67.18,other,Dispatchly is an innovative load board aggregator with real-time notifications for the Car Hauling Industry.,82.3,95,87,32,100,63.400000000000006,61,65,65,True,"Serhii Skopetskyi, Alex Skipetskyi, Oleg Polchyn",3,2024-02-27 14:33:32
76,SkimAl,67.04,education_technology,SkimAl is an AI assistant that helps manage and streamline email inboxes for professionals.,69.6,100,74,44,40,66.4,61,100,10,True,"Pung Worathiti, Matthieu Crétier",2,2024-02-27 14:33:32
77,Predexyo,66.80466666666668,financial_inclusion,Predexyo is a provider of tech and blockchain infrastructure to facilitate P2P trading of options and structured products on digital assets.,76.42333333333333,97.86666666666666,78,39,80,64.4,61,100,0,False,Matteo Spinosa,1,2024-02-27 14:33:32
78,myopnotes,66.19000000000001,health_and_wellness,myopnotes is a digital tool for Clinical Coding in surgery that helps hospitals get accurately paid.,78.95,95,83,43,80,63,100,30,55,True,"Dr. Rajen Nagar, Kieran Oldham, Sue Eve-Jones, Dr. Grant Nolan, Martin Woolley",5,2024-02-27 14:33:32
79,DiGi,66.10181818181819,education_technology,"DiGi is an app that gives schools and parents the ability to block all apps on teenagers' mobile devices, allowing them to focus on their daily activities.",76.9090909090909,99.54545454545455,78,30,90,63.400000000000006,61,65,65,True,"Andrew, Abdou",2,2024-02-27 14:33:32
80,SORBET,66.00130434782609,financial_inclusion,"SORBET is a one-stop shop for all freelancers needs, enabling them with instant payments, secure contracts and peace of mind.",64.40652173913044,98.78260869565217,74,51,0,66.4,61,100,10,False,"Rami Djebari, Maher Ayari",2,2024-02-27 14:33:32
81,Origins,65.82000000000001,planet_positive,"Origins is a platform that promotes transparency, accountability, and sustainability across the entire supply chain in the fashion industry.",63.5,95,65,40,40,66.4,61,100,10,True,"Peter Dakin, Reuben Selby, Noam Ballon, Carlo Catimbang, Diogo Rebelo",5,2024-02-27 14:33:32
82,Brex,65.73,financial_inclusion,Brex is a fintech company that provides corporate credit cards and cash management accounts for startups.,63.05,95,65,57,20,66.4,61,100,10,False,"Pedro Franceschi, Michael Tannenbaum",2,2024-02-27 14:33:32
83,Matchfy,65.67,other,Matchfy is a platform that allows sports and events to upsell to their fans and attendees seamlessly.,88.35,95,91,59,100,60,70,80,0,True,"Kim Hoàng, Taryn Forlee, Tracey Ah Hee, Vlad Larin",4,2024-02-27 14:33:32
84,Doefin,65.54,financial_inclusion,Doefin is an institutional-grade DeFi platform facilitating options and structured product trading on digital assets.,82.1,100,78,54,100,61.400000000000006,61,65,55,True,Matteo Spinosa,1,2024-02-27 14:33:32
85,Boso,65.37,planet_positive,"Boso is a startup that makes premium hygiene and paper products out of fast-growing bamboo, and helps end period poverty by donating 5% of their revenue.",69.25,95,78,75,0,64.4,61,65,70,True,Dominic Kamara,1,2024-02-27 14:33:32
86,Yasuke Audioworks,65.26480000000001,other,Yasuke Audioworks is a bespoke audio manufacturing company that assists people in enjoying the Art Of Listening to the music and artist that they love in PRIVATE & LIVE through bespoke earbuds and a supporting ticket raffling SaaS.,72.72399999999999,98.12,87,64,0,63.400000000000006,61,65,65,True,Joshua Bennett,1,2024-02-27 14:33:32
87,Fyde,65.1846153846154,financial_inclusion,Fyde is a blockchain-based treasury protocol that offers a liquid vault for token diversification and enhanced liquidity.,80.32307692307693,99.61538461538461,74,56,100,61.4,26,100,55,True,"Bo Zhang, Alex Chalard, Carlos Saavedra, Timo Neumann, Andrey Stejko, Rohan Sundar, Behrin Naidoo, Victoria Gong",8,2024-02-27 14:33:32
88,cureAble,65.05000000000001,health_and_wellness,"cureAble is a full-stack platform providing expert therapist-planned, personalized nurturing for special-needs children in their homes.",75.65,95,83,61,40,62.400000000000006,61,80,30,True,"Krishna, Atabik, Arbob",3,2024-02-27 14:33:32
89,Big Sister Swap,65.05000000000001,planet_positive,"Big Sister Swap is a personalised clothes swapping service, making circular fashion accessible.",71.65,95,87,41,20,63.400000000000006,61,65,65,True,Hudi Charin,1,2024-02-27 14:33:32
90,Émet,64.8876923076923,education_technology,"Émet is an incentivized market research chat assistant that helps entrepreneurs and product teams validate their product ideas with real customers, at scale.",84.43846153846154,99.6923076923077,87,40,100,60,100,50,0,True,"Freeman Lewin, Jacqueline Rosales",2,2024-02-27 14:33:32
91,Eveo,64.56470588235294,other,"Eveo is an AI and AR enabled virtual assistant, stylist and designer for personal fashion and style management.",74.8235294117647,89.11764705882354,87,50,40,62,100,50,10,True,"Sachin Sutariya, Himashu Gajera, Abhishek Gangani, Yashas Tadikamalla, Ayomin Dev",5,2024-02-27 14:33:32
92,AMARI,64.44,health_and_wellness,AMARI is a marketplace for stress management and personalized herbal supplementation.,88.6,95,96,54,90,58.400000000000006,61,80,10,True,"Tom Weston, James Gibbons",2,2024-02-27 14:33:32
93,Test Startup,64.31,health_and_wellness,Test Startup provides prompt injections as a service.,93.55,100,100,57,100,57,100,10,65,True,"John Doe, Jane Doe",2,2024-02-27 14:33:32
94,Pigybak,64.06800000000001,other,"Pigybak is a platform that bundles and monitors household projects across neighborhoods, offering a unique solution that saves homeowners time and money while creating a reliable and efficient source of jobs for contractors.",86.74,98.2,100,34,80,58.400000000000006,61,80,10,True,"Shanna Greathouse, Saami Abbas",2,2024-02-27 14:33:32
95,Vertical Dream,63.99000000000001,other,Vertical Dream is an AI-integrated entertainment studio launching original Web3 franchises to global audiences.,86.35,95,96,49,80,58.400000000000006,61,80,10,True,John Albanis,1,2024-02-27 14:33:32
96,foodlama,63.67,health_and_wellness,"Foodlama is a personalisation engine for grocery shopping, helping users make better food choices based on their dietary needs and preferences.",84.75,95,91,55,80,58.400000000000006,61,80,10,True,"Damilare Ogunleye, Santiago Schmitt, Anas Boubas",3,2024-02-27 14:33:32
97,Gumo,63.49000000000001,education_technology,"Gumo is a creator lead travel commerce enabler, transforming influencer tips into trips.",83.85,95,91,29,100,58.400000000000006,61,80,10,True,"Shakir, Manish",2,2024-02-27 14:33:33
98,AESTY,63.27000000000001,other,"AESTY is a personal fashion curator that guides people to discover their style, organize wardrobe and make their outfits diverse and inspiring.",90.75,95,100,55,90,56.400000000000006,61,80,0,True,"Nadia, Alyona, Andrei",3,2024-02-27 14:33:33
99,Craggle,63.264736842105265,financial_inclusion,Craggle is a digital platform that uses crowdsourcing to negotiate home loan rates between mortgage holders and banks.,70.72368421052632,98.36842105263158,91,17,20,61.400000000000006,61,65,55,True,"Luke Oxley, Benjamin Baume",2,2024-02-27 14:33:33
100,Koryntia,63.21000000000001,financial_inclusion,Koryntia is a DeFi-powered marketplace that enables direct access to financial opportunities.,82.45,95,87,43,90,58.400000000000006,61,80,10,True,"Gregorio Punzano, Jose Luis Sanchez, Abel Bordonado, Jimena Santillan",4,2024-02-27 14:33:33
101,Fewcents,62.96000000000001,financial_inclusion,"Fewcents is a cross-border micropayments and identity infrastructure for digital media, maximizing the per-unit value of digital content.",85.2,95,100,48,60,57.400000000000006,61,50,65,True,"Abhishek Dadoo, Abhishek Sharma, Dushyant Khare",3,2024-02-27 14:33:33
102,Rayda,62.91000000000001,financial_inclusion,"Rayda provides a platform for businesses to acquire, manage, and dispose of their assets globally.",88.95,95,100,53,80,56.400000000000006,61,65,30,True,"Francis Osifo, Immanuel Samuels, Sharon Onwuazor, Rizqot Ahmad, Peace Attah, Chidi Nkwocha",6,2024-02-27 14:33:33
103,Broad,62.720000000000006,planet_positive,Broad is a logistics optimization platform that improves delivery efficiency.,80,95,83,30,100,58.400000000000006,61,80,10,True,Mohamed Ihab,1,2024-02-27 14:33:33
104,Nephele,62.49000000000001,other,Nephele is a decentralized physical infrastructure network (DePIN) of cloud storage for web3 services and applications.,86.85,95,91,59,90,56.400000000000006,61,80,0,True,"Brieuc Berruet, Giacomo Milligan, Zachary Steele, Javier Ortiz, Mickaël Faust",5,2024-02-27 14:33:33
105,Volunteer World,62.36000000000001,planet_positive,"Volunteer World is a global platform for impact traveling, connecting travelers with local NGOs.",78.2,95,74,48,100,58.400000000000006,61,80,10,True,Pascal Christiaens,1,2024-02-27 14:33:33
106,Pitched,62.220000000000006,financial_inclusion,"Pitched is building an intuitive, fully automated, end-to-end private market investment platform.",77.5,95,87,60,40,58.400000000000006,61,80,10,True,"Scott Ashmore, Robert Halligan",2,2024-02-27 14:33:33
107,Build Connect,62.20714285714287,other,"Build Connect is a marketplace for renovations, residential and commercial construction.",53.43571428571428,91.42857142857143,61,31,0,64.4,61,100,0,False,Mohau Mbangela,1,2024-02-27 14:33:33
108,Oakly,62.00407407407408,education_technology,Oakly is disrupting the event industry by providing a hybrid-first event app and connecting all ecosystem participants in a single marketplace.,76.42037037037036,96.85185185185185,100,47,0,58.400000000000006,61,80,10,True,"Milomir Dragović, Minja Marčetić",2,2024-02-27 14:33:33
109,DeckFusion,61.91,education_technology,DeckFusion is an AI-powered deck creation platform for business professionals.,69.55,95,87,27,20,60,100,50,0,True,Jeff Cherkassky,1,2024-02-27 14:33:33
110,Embr,61.77400000000001,financial_inclusion,"Embr is building a suite of DeFi-powered payments products and APIs that enable developers to abstract gas, wallet and chain out of their crypto-enabled products UX.",87.27,98.6,91,67,80,55.400000000000006,61,50,55,True,"Jason, James, Eli",3,2024-02-27 14:33:33
